HQURT_NAME,CMDLT_NAME,HSCD,HSCD_CN,REG_DT,REGL_CN,ISO_WD2_NAT_CD,REGL_STR_DE,REGL_END_DE,PROBE_TGT_NAT_NAME
아프리카지역본부,냉동계육(Frozen bone-in portions of the species Gallus Domesticus),020714,"02071493,02071495,02071496,02071497,02071498,02071499",2023-05-19,반덤핑(규제중),ZA,20220801,20270731,"브라질, 덴마크, 아일랜드, 폴란드, 스페인"
아프리카지역본부,시멘트(cement),252329,252329,2023-05-19,반덤핑(규제중),ZA,20151218,20201217,파키스탄
아프리카지역본부,스테인리스 철강 싱크(Stainless steel sinks),732410,732410,2023-05-19,반덤핑(규제중),ZA,20091106,20261216,"중국, 말레이시아"
아프리카지역본부,손수레(Wheelbarrows),871680,87168010,2023-05-19,반덤핑(규제중),ZA,20150904,20261202,중국
아프리카지역본부,"소다 회(Soda Ash, Disodium carbonate)",283620,283620,2023-05-19,반덤핑(규제중),ZA,20140619,20250329,미국
아프리카지역본부,석고보드(Gypsum Plasterboard),680911,680911,2023-05-19,반덤핑(규제중),ZA,20040213,20250827,"태국, 인도네시아"
아프리카지역본부,삽(Spades and Shovels),820190,"82011005,82011010,82013003,82013090,82019020",2023-05-19,반덤핑(조사중),ZA,20220513,20221112,"중국, 인도"
아프리카지역본부,삽(Spades and Shovels),820130,"82011005,82011010,82013003,82013090,82019020",2023-05-19,반덤핑(조사중),ZA,20220513,20221112,"중국, 인도"
아프리카지역본부,삽(Spades and Shovels),820110,"82011005,82011010,82013003,82013090,82019020",2023-05-19,반덤핑(조사중),ZA,20220513,20221112,"중국, 인도"
아프리카지역본부,볼트(Bolts with hexagon heads of iron or steel),731815,73181543,2023-05-19,세이프가드(규제중),ZA,20211210,20241209,전세계
아프리카지역본부,마늘(Garlic),071290,"070320,07129090",2023-05-19,반덤핑(규제중),ZA,20001020,20270218,중국
아프리카지역본부,마늘(Garlic),070320,"070320,07129090",2023-05-19,반덤핑(규제중),ZA,20001020,20270218,중국
