나라,품목,예상 비중( 유사도 * 비중 / (유사도의 합) ) ,RCA,분자의 분자,분자의 분모,분모의 분자,분모의 분모,해당 나라 해당 품목 수입액,해당 나라 해당 품목 수출액,규제시작일자,규제종료일자
ES,620429,1.8e-09,0.0015208054471754,20444,681729790292,453063852,22976267162433,2109414,1522231,,
ES,621230,9e-10,0.0681633210464222,241914,681729790292,119612746,22976267162433,3323662,1017024,,
ES,271099,0.0,0.0009106114654489,8923,681729790292,330251637,22976267162433,1696397,1419106,,
ES,610729,0.0,0.0021147724819017,1875,681729790292,29881667,22976267162433,1102804,217493,,
ES,170114,0.0,0.0004656429312607,188854,681729790292,13669114251,22976267162433,309959014,3145640,,
NZ,300241,0.007257445,0.562462390609068,941123395,681729790292,56392361465,22976267162433,223178719,7913,,
NZ,740811,0.002958528,0.5312537898331869,222621747,681729790292,14123188171,22976267162433,1310761,0,,
NZ,550130,0.000914169,4.0492962125599625,85851824,681729790292,714557496,22976267162433,17149,158,,
NZ,870210,0.000610856,1.6572587828376055,457669787,681729790292,9307415765,22976267162433,12956755,322554,,
NZ,382211,0.000323837,15.441197604690382,72403349,681729790292,158031941,22976267162433,248303,289,,
NZ,841510,0.000303359,1.633020968620997,538849889,681729790292,11120984531,22976267162433,58534356,252420,,
NZ,730490,0.000260948,3.5846524888281825,70030232,681729790292,658424080,22976267162433,8192911,178320,,
NZ,870880,0.000254211,0.8658330006705586,630188333,681729790292,24530331890,22976267162433,34090477,382433,,
NZ,845530,8.35989e-05,1.9691364426973204,101049516,681729790292,1729520158,22976267162433,3638645,654793,,
NZ,841829,4.05575e-05,0.1154289924761726,1653827,681729790292,482883508,22976267162433,2164647,2625,,
NZ,841830,2.98105e-05,0.0765063148295831,3417676,681729790292,1505569491,22976267162433,9965252,12170,,
NZ,320619,2.56505e-05,0.4058452473266652,19190285,681729790292,1593632435,22976267162433,1684368,0,,
NZ,382000,1.76597e-05,0.2770448256742612,12720142,681729790292,1547423245,22976267162433,7574166,22289,,
NZ,293339,1.61192e-05,0.2579597340591192,119040082,681729790292,15552796769,22976267162433,4102851,9754,,
NZ,940210,1.23311e-05,0.3870396432343903,7035454,681729790292,612637924,22976267162433,3397022,23260,,
NZ,381900,1.22652e-05,0.2320378236177688,9076002,681729790292,1318265844,22976267162433,5541005,28677,,
NZ,730640,1.0163e-05,1.4690225602313116,198637155,681729790292,4557211883,22976267162433,14206142,206452,,
NZ,844859,9.1025e-06,0.9533387549420708,16997894,681729790292,600917800,22976267162433,571969,4877,,
